referenceid,endpoint,resolverid,displaycolor
cnc,https://cnc.gamepedia.com/api.php,generic,"!random"
archeage,https://archeage.gamepedia.com/api.php,generic,"!random"
maplestory2,https://maplestory2.gamepedia.com/api.php,generic,"!random"
terraria,https://terraria.gamepedia.com/api.php,generic,"!random"
exvius,https://exvius.gamepedia.com/api.php,generic,"!random"
destiny2,https://destiny2.gamepedia.com/api.php,generic,"!random"
legacyofkain,https://legacyofkain.gamepedia.com/api.php,generic,"!random"
pillarsofeternity,https://pillarsofeternity.gamepedia.com/api.php,generic,"!random"
skyrim,https://skyrim.gamepedia.com/api.php,generic,"!random"
ragnarok,https://ragnarok.gamepedia.com/api.php,generic,"!random"
totalwarwarhammer,https://totalwarwarhammer.gamepedia.com/api.php,generic,"!random"
overwatch,https://overwatch.gamepedia.com/api.php,generic,"!random"
fortnite,https://fortnite.gamepedia.com/api.php,generic,"!random"
vegaconflict,https://vegaconflict.gamepedia.com/api.php,generic,"!random"
bladeandsoul,https://bladeandsoul.gamepedia.com/api.php,generic,"!random"
mtg,https://mtg.gamepedia.com/api.php,generic,"!random"
villagersandheroes,https://villagersandheroes.gamepedia.com/api.php,generic,"!random"
ffxiv,https://ffxiv.gamepedia.com/api.php,generic,"!random"
100orangejuice,https://100orangejuice.gamepedia.com/api.php,generic,"!random"
awesomenauts,https://awesomenauts.gamepedia.com/api.php,generic,"!random"
terrariamods,https://terrariamods.gamepedia.com/api.php,generic,"!random"
masseffectandromeda,https://masseffectandromeda.gamepedia.com/api.php,generic,"!random"
dontstarve,https://dontstarve.gamepedia.com/api.php,generic,"!random"
gigantic,https://gigantic.gamepedia.com/api.php,generic,"!random"
smite-esports,https://smite-esports.gamepedia.com/api.php,generic,"!random"
wardragons,https://wardragons.gamepedia.com/api.php,generic,"!random"
conanexiles,https://conanexiles.gamepedia.com/api.php,generic,"!random"
animalcrossingpocketcamp,https://animalcrossingpocketcamp.gamepedia.com/api.php,generic,"!random"
dragalialost,https://dragalialost.gamepedia.com/api.php,generic,"!random"
steeldivision,https://steeldivision.gamepedia.com/api.php,generic,"!random"
mobius,https://mobius.gamepedia.com/api.php,generic,"!random"
pwi,https://pwi.gamepedia.com/api.php,generic,"!random"
bravefrontier2,https://bravefrontier2.gamepedia.com/api.php,generic,"!random"
wildstar,https://wildstar.gamepedia.com/api.php,generic,"!random"
honkaiimpact3,https://honkaiimpact3.gamepedia.com/api.php,generic,"!random"
poptropica,https://poptropica.gamepedia.com/api.php,generic,"!random"
duelyst,https://duelyst.gamepedia.com/api.php,generic,"!random"
halo-esports,https://halo-esports.gamepedia.com/api.php,generic,"!random"
rl-esports,https://rl-esports.gamepedia.com/api.php,generic,"!random"
realmroyale,https://realmroyale.gamepedia.com/api.php,generic,"!random"
teso,https://teso.gamepedia.com/api.php,generic,"!random"
vr,https://vr.gamepedia.com/api.php,generic,"!random"
adventofascension,https://adventofascension.gamepedia.com/api.php,generic,"!random"
grimdawn,https://grimdawn.gamepedia.com/api.php,generic,"!random"
thoriummod,https://thoriummod.gamepedia.com/api.php,generic,"!random"
escapefromtarkov,https://escapefromtarkov.gamepedia.com/api.php,generic,"!random"
stalker-ru,https://stalker-ru.gamepedia.com/api.php,generic,"!random"
dayz,https://dayz.gamepedia.com/api.php,generic,"!random"
deadbydaylight,https://deadbydaylight.gamepedia.com/api.php,generic,"!random"
mysterydungeon,https://mysterydungeon.gamepedia.com/api.php,generic,"!random"
dragonnest,https://dragonnest.gamepedia.com/api.php,generic,"!random"
wasteland,https://wasteland.gamepedia.com/api.php,generic,"!random"
battlerite,https://battlerite.gamepedia.com/api.php,generic,"!random"
hon,https://hon.gamepedia.com/api.php,generic,"!random"
klondike,https://klondike.gamepedia.com/api.php,generic,"!random"
calamitymod,https://calamitymod.gamepedia.com/api.php,generic,"!random"
milmo,https://milmo.gamepedia.com/api.php,generic,"!random"
7daystodie,https://7daystodie.gamepedia.com/api.php,generic,"!random"
technik-de,https://technik-de.gamepedia.com/api.php,generic,"!random"
ridersoficarus,https://ridersoficarus.gamepedia.com/api.php,generic,"!random"
bindingofisaacrebirth,https://bindingofisaacrebirth.gamepedia.com/api.php,generic,"!random"
heroesandgenerals,https://heroesandgenerals.gamepedia.com/api.php,generic,"!random"
cabal,https://cabal.gamepedia.com/api.php,generic,"!random"
pubg-esports,https://pubg-esports.gamepedia.com/api.php,generic,"!random"
seaofthieves,https://seaofthieves.gamepedia.com/api.php,generic,"!random"
westofloathing,https://westofloathing.gamepedia.com/api.php,generic,"!random"
futuramaworldsoftomorrow,https://futuramaworldsoftomorrow.gamepedia.com/api.php,generic,"!random"
civ5customization,https://civ5customization.gamepedia.com/api.php,generic,"!random"
tyranny,https://tyranny.gamepedia.com/api.php,generic,"!random"
atlas,https://atlas.gamepedia.com/api.php,generic,"!random"
kingdomcomedeliverance,https://kingdomcomedeliverance.gamepedia.com/api.php,generic,"!random"
langrisser,https://langrisser.gamepedia.com/api.php,generic,"!random"
theforest,https://theforest.gamepedia.com/api.php,generic,"!random"
aether,https://aether.gamepedia.com/api.php,generic,"!random"
wynncraft,https://wynncraft.gamepedia.com/api.php,generic,"!random"
necronia,https://necronia.gamepedia.com/api.php,generic,"!random"
lifeisfeudal,https://lifeisfeudal.gamepedia.com/api.php,generic,"!random"
blacksurvival,https://blacksurvival.gamepedia.com/api.php,generic,"!random"
orcsmustdieunchained,https://orcsmustdieunchained.gamepedia.com/api.php,generic,"!random"
pubg,https://pubg.gamepedia.com/api.php,generic,"!random"
evony,https://evony.gamepedia.com/api.php,generic,"!random"
roguetech,https://roguetech.gamepedia.com/api.php,generic,"!random"
dishonored,https://dishonored.gamepedia.com/api.php,generic,"!random"
coraabia,https://coraabia.gamepedia.com/api.php,generic,"!random"
portalknights,https://portalknights.gamepedia.com/api.php,generic,"!random"
mytimeatportia,https://mytimeatportia.gamepedia.com/api.php,generic,"!random"
civ6,https://civ6.gamepedia.com/api.php,generic,"!random"
elex,https://elex.gamepedia.com/api.php,generic,"!random"
infestationnewz,https://infestationnewz.gamepedia.com/api.php,generic,"!random"
endlesslegend,https://endlesslegend.gamepedia.com/api.php,generic,"!random"
l2revolution,https://l2revolution.gamepedia.com/api.php,generic,"!random"
outward,https://outward.gamepedia.com/api.php,generic,"!random"
monsterhunterworld,https://monsterhunterworld.gamepedia.com/api.php,generic,"!random"
spiritmod,https://spiritmod.gamepedia.com/api.php,generic,"!random"
yokaiwatch,https://yokaiwatch.gamepedia.com/api.php,generic,"!random"
cavesofqud,https://cavesofqud.gamepedia.com/api.php,generic,"!random"
tremormod,https://tremormod.gamepedia.com/api.php,generic,"!random"
rend,https://rend.gamepedia.com/api.php,generic,"!random"
pixark,https://pixark.gamepedia.com/api.php,generic,"!random"
pickcrafter,https://pickcrafter.gamepedia.com/api.php,generic,"!random"
onehouronelife,https://onehouronelife.gamepedia.com/api.php,generic,"!random"
vg-esports,https://vg-esports.gamepedia.com/api.php,generic,"!random"
sunlesssea,https://sunlesssea.gamepedia.com/api.php,generic,"!random"
fortheking,https://fortheking.gamepedia.com/api.php,generic,"!random"
letitdie,https://letitdie.gamepedia.com/api.php,generic,"!random"
mwo,https://mwo.gamepedia.com/api.php,generic,"!random"
darkandlight,https://darkandlight.gamepedia.com/api.php,generic,"!random"
terrabattle2,https://terrabattle2.gamepedia.com/api.php,generic,"!random"
survivedby,https://survivedby.gamepedia.com/api.php,generic,"!random"
dauntless,https://dauntless.gamepedia.com/api.php,generic,"!random"
savagelands,https://savagelands.gamepedia.com/api.php,generic,"!random"
firefall,https://firefall.gamepedia.com/api.php,generic,"!random"
siege-esports,https://siege-esports.gamepedia.com/api.php,generic,"!random"
darkestdungeon,https://darkestdungeon.gamepedia.com/api.php,generic,"!random"
sunlessskies,https://sunlessskies.gamepedia.com/api.php,generic,"!random"
legendsofaria,https://legendsofaria.gamepedia.com/api.php,generic,"!random"
lastepoch,https://lastepoch.gamepedia.com/api.php,generic,"!random"
oxygennotincluded,https://oxygennotincluded.gamepedia.com/api.php,generic,"!random"
collective,https://collective.gamepedia.com/api.php,generic,"!random"
sengokuasukazero,https://sengokuasukazero.gamepedia.com/api.php,generic,"!random"
vermintide2,https://vermintide2.gamepedia.com/api.php,generic,"!random"
infestation,https://infestation.gamepedia.com/api.php,generic,"!random"
pixelstarships,https://pixelstarships.gamepedia.com/api.php,generic,"!random"
fifa-esports,https://fifa-esports.gamepedia.com/api.php,generic,"!random"
crosscode,https://crosscode.gamepedia.com/api.php,generic,"!random"
l5r,https://l5r.gamepedia.com/api.php,generic,"!random"
wikisandbox,https://wikisandbox.gamepedia.com/api.php,generic,"!random"
towns,https://towns.gamepedia.com/api.php,generic,"!random"
farcry5,https://farcry5.gamepedia.com/api.php,generic,"!random"
indiecade,https://indiecade.gamepedia.com/api.php,generic,"!random"
enterthegungeon,https://enterthegungeon.gamepedia.com/api.php,generic,"!random"
infinityblade,https://infinityblade.gamepedia.com/api.php,generic,"!random"
gears-esports,https://gears-esports.gamepedia.com/api.php,generic,"!random"
scum,https://scum.gamepedia.com/api.php,generic,"!random"
risen,https://risen.gamepedia.com/api.php,generic,"!random"
shadowsofabaddon,https://shadowsofabaddon.gamepedia.com/api.php,generic,"!random"
artifact,https://artifact.gamepedia.com/api.php,generic,"!random"
galciv3,https://galciv3.gamepedia.com/api.php,generic,"!random"
graveyardkeeper,https://graveyardkeeper.gamepedia.com/api.php,generic,"!random"
gwent,https://gwent.gamepedia.com/api.php,generic,"!random"
primeworld,https://primeworld.gamepedia.com/api.php,generic,"!random"
watchdogs,https://watchdogs.gamepedia.com/api.php,generic,"!random"
shadowrun,https://shadowrun.gamepedia.com/api.php,generic,"!random"
planetexplorers,https://planetexplorers.gamepedia.com/api.php,generic,"!random"
dungeonmaker,https://dungeonmaker.gamepedia.com/api.php,generic,"!random"
apexlegends,https://apexlegends.gamepedia.com/api.php,generic,"!random"
mocreatures,https://mocreatures.gamepedia.com/api.php,generic,"!random"
numenera,https://numenera.gamepedia.com/api.php,generic,"!random"
crashlands,https://crashlands.gamepedia.com/api.php,generic,"!random"
rust,https://rust.gamepedia.com/api.php,generic,"!random"
divinity,https://divinity.gamepedia.com/api.php,generic,"!random"
hextcg,https://hextcg.gamepedia.com/api.php,generic,"!random"
ylands,https://ylands.gamepedia.com/api.php,generic,"!random"
dotarena,https://dotarena.gamepedia.com/api.php,generic,"!random"
eco,https://eco.gamepedia.com/api.php,generic,"!random"
faeria,https://faeria.gamepedia.com/api.php,generic,"!random"
paladins-esports,https://paladins-esports.gamepedia.com/api.php,generic,"!random"
antihero,https://antihero.gamepedia.com/api.php,generic,"!random"
aeon,https://aeon.gamepedia.com/api.php,generic,"!random"
stash,https://stash.gamepedia.com/api.php,generic,"!random"
pathfinderkingmaker,https://pathfinderkingmaker.gamepedia.com/api.php,generic,"!random"
lastdayonearthsurvival,https://lastdayonearthsurvival.gamepedia.com/api.php,generic,"!random"
masterofeternity,https://masterofeternity.gamepedia.com/api.php,generic,"!random"
apocalypserising,https://apocalypserising.gamepedia.com/api.php,generic,"!random"
panzercorps,https://panzercorps.gamepedia.com/api.php,generic,"!random"
startraders,https://startraders.gamepedia.com/api.php,generic,"!random"
grandsummoners,https://grandsummoners.gamepedia.com/api.php,generic,"!random"
dragonproject,https://dragonproject.gamepedia.com/api.php,generic,"!random"
dotaunderlords,https://dotaunderlords.gamepedia.com/api.php,generic,"!random"
forsakenisle,https://forsakenisle.gamepedia.com/api.php,generic,"!random"
littlewood,https://littlewood.gamepedia.com/api.php,generic,"!random"
empyrion,https://empyrion.gamepedia.com/api.php,generic,"!random"
itlurksbelow,https://itlurksbelow.gamepedia.com/api.php,generic,"!random"
boundless,https://boundless.gamepedia.com/api.php,generic,"!random"
finalfantasyxv,https://finalfantasyxv.gamepedia.com/api.php,generic,"!random"
satisfactory,https://satisfactory.gamepedia.com/api.php,generic,"!random"
survarium,https://survarium.gamepedia.com/api.php,generic,"!random"
skiesofarcadia,https://skiesofarcadia.gamepedia.com/api.php,generic,"!random"
masteroforion,https://masteroforion.gamepedia.com/api.php,generic,"!random"
idlechampions,https://idlechampions.gamepedia.com/api.php,generic,"!random"
titanfall,https://titanfall.gamepedia.com/api.php,generic,"!random"
armoredwarfare,https://armoredwarfare.gamepedia.com/api.php,generic,"!random"
twinsuniverse,https://twinsuniverse.gamepedia.com/api.php,generic,"!random"
saointegralfactor,https://saointegralfactor.gamepedia.com/api.php,generic,"!random"
flowerknightgirl,https://flowerknightgirl.gamepedia.com/api.php,generic,"!random"
bannersaga,https://bannersaga.gamepedia.com/api.php,generic,"!random"
apexlegends-esports,https://apexlegends-esports.gamepedia.com/api.php,generic,"!random"
swordsman,https://swordsman.gamepedia.com/api.php,generic,"!random"
pokemongo,https://pokemongo.gamepedia.com/api.php,generic,"!random"
nightbanes,https://nightbanes.gamepedia.com/api.php,generic,"!random"
scpcb,https://scpcb.gamepedia.com/api.php,generic,"!random"
bproject,https://bproject.gamepedia.com/api.php,generic,"!random"
vampiresfallorigins,https://vampiresfallorigins.gamepedia.com/api.php,generic,"!random"
moonlighter,https://moonlighter.gamepedia.com/api.php,generic,"!random"
terratech,https://terratech.gamepedia.com/api.php,generic,"!random"
duelofchampions,https://duelofchampions.gamepedia.com/api.php,generic,"!random"
forager,https://forager.gamepedia.com/api.php,generic,"!random"
crafttheworld,https://crafttheworld.gamepedia.com/api.php,generic,"!random"
clockworkempires,https://clockworkempires.gamepedia.com/api.php,generic,"!random"
archlightonline,https://archlightonline.gamepedia.com/api.php,generic,"!random"
fistofthenorthstar,https://fistofthenorthstar.gamepedia.com/api.php,generic,"!random"
thehorusheresylegions,https://thehorusheresylegions.gamepedia.com/api.php,generic,"!random"
antiaris,https://antiaris.gamepedia.com/api.php,generic,"!random"
huntshowdown,https://huntshowdown.gamepedia.com/api.php,generic,"!random"
battleriteroyale,https://battleriteroyale.gamepedia.com/api.php,generic,"!random"
theescapists,https://theescapists.gamepedia.com/api.php,generic,"!random"
wildterra,https://wildterra.gamepedia.com/api.php,generic,"!random"
chroniclesofelyria,https://chroniclesofelyria.gamepedia.com/api.php,generic,"!random"
skyforge,https://skyforge.gamepedia.com/api.php,generic,"!random"
magicka,https://magicka.gamepedia.com/api.php,generic,"!random"
astroneer,https://astroneer.gamepedia.com/api.php,generic,"!random"
strife,https://strife.gamepedia.com/api.php,generic,"!random"
carnivores,https://carnivores.gamepedia.com/api.php,generic,"!random"
theblackoutclub,https://theblackoutclub.gamepedia.com/api.php,generic,"!random"
strongholdkingdoms,https://strongholdkingdoms.gamepedia.com/api.php,generic,"!random"
vermintide,https://vermintide.gamepedia.com/api.php,generic,"!random"
squad,https://squad.gamepedia.com/api.php,generic,"!random"
greenhell,https://greenhell.gamepedia.com/api.php,generic,"!random"
streamers,https://streamers.gamepedia.com/api.php,generic,"!random"
miniworld,https://miniworld.gamepedia.com/api.php,generic,"!random"
mountandblade-ru,https://mountandblade-ru.gamepedia.com/api.php,generic,"!random"
osirisnewdawn,https://osirisnewdawn.gamepedia.com/api.php,generic,"!random"
balrum,https://balrum.gamepedia.com/api.php,generic,"!random"
robocraft,https://robocraft.gamepedia.com/api.php,generic,"!random"
animalroyale,https://animalroyale.gamepedia.com/api.php,generic,"!random"
teamfighttactics,https://teamfighttactics.gamepedia.com/api.php,generic,"!random"
demonsarecrazy,https://demonsarecrazy.gamepedia.com/api.php,generic,"!random"
kogama,https://kogama.gamepedia.com/api.php,generic,"!random"
mordheimcotd,https://mordheimcotd.gamepedia.com/api.php,generic,"!random"
picross,https://picross.gamepedia.com/api.php,generic,"!random"
camelot,https://camelot.gamepedia.com/api.php,generic,"!random"
hyperuniverse,https://hyperuniverse.gamepedia.com/api.php,generic,"!random"
idtmod,https://idtmod.gamepedia.com/api.php,generic,"!random"
crowfall,https://crowfall.gamepedia.com/api.php,generic,"!random"
planetcentauri,https://planetcentauri.gamepedia.com/api.php,generic,"!random"
powermaster,https://powermaster.gamepedia.com/api.php,generic,"!random"
darwinproject,https://darwinproject.gamepedia.com/api.php,generic,"!random"
help,https://help.gamepedia.com/api.php,generic,"!random"
valnirrok,https://valnirrok.gamepedia.com/api.php,generic,"!random"
antibirth,https://antibirth.gamepedia.com/api.php,generic,"!random"
ymir,https://ymir.gamepedia.com/api.php,generic,"!random"
stonehearth,https://stonehearth.gamepedia.com/api.php,generic,"!random"
elementsawoken,https://elementsawoken.gamepedia.com/api.php,generic,"!random"
pathologic,https://pathologic.gamepedia.com/api.php,generic,"!random"
alphacentauri,https://alphacentauri.gamepedia.com/api.php,generic,"!random"
frostpunk,https://frostpunk.gamepedia.com/api.php,generic,"!random"
crea,https://crea.gamepedia.com/api.php,generic,"!random"
temtem,https://temtem.gamepedia.com/api.php,generic,"!random"
starcraft,https://starcraft.gamepedia.com/api.php,generic,"!random"
brawlhalla,https://brawlhalla.gamepedia.com/api.php,generic,"!random"
infinitecrisis,https://infinitecrisis.gamepedia.com/api.php,generic,"!random"
cultistsimulator,https://cultistsimulator.gamepedia.com/api.php,generic,"!random"
cubeworld,https://cubeworld.gamepedia.com/api.php,generic,"!random"
yonder,https://yonder.gamepedia.com/api.php,generic,"!random"
tera,https://tera.gamepedia.com/api.php,generic,"!random"
reignofkings,https://reignofkings.gamepedia.com/api.php,generic,"!random"
callersbane,https://callersbane.gamepedia.com/api.php,generic,"!random"
identityv,https://identityv.gamepedia.com/api.php,generic,"!random"
arenaofvalor,https://arenaofvalor.gamepedia.com/api.php,generic,"!random"
transformersthedarkeras,https://transformersthedarkeras.gamepedia.com/api.php,generic,"!random"
candycraft,https://candycraft.gamepedia.com/api.php,generic,"!random"
deeprockgalactic,https://deeprockgalactic.gamepedia.com/api.php,generic,"!random"
superstickmangolf,https://superstickmangolf.gamepedia.com/api.php,generic,"!random"
starpointgemini,https://starpointgemini.gamepedia.com/api.php,generic,"!random"
weneedtogodeeper,https://weneedtogodeeper.gamepedia.com/api.php,generic,"!random"
edgeofspace,https://edgeofspace.gamepedia.com/api.php,generic,"!random"
darkorbit,https://darkorbit.gamepedia.com/api.php,generic,"!random"
panzerwaltz,https://panzerwaltz.gamepedia.com/api.php,generic,"!random"
fairyseffect,https://fairyseffect.gamepedia.com/api.php,generic,"!random"
gloriavictis,https://gloriavictis.gamepedia.com/api.php,generic,"!random"
felldom,https://felldom.gamepedia.com/api.php,generic,"!random"
marvelheroes,https://marvelheroes.gamepedia.com/api.php,generic,"!random"
pitpeople,https://pitpeople.gamepedia.com/api.php,generic,"!random"
saviorpedia,https://saviorpedia.gamepedia.com/api.php,generic,"!random"
foxhole,https://foxhole.gamepedia.com/api.php,generic,"!random"
civilizationbeyondearth,https://civilizationbeyondearth.gamepedia.com/api.php,generic,"!random"
disneyinfinity,https://disneyinfinity.gamepedia.com/api.php,generic,"!random"
epochmod,https://epochmod.gamepedia.com/api.php,generic,"!random"
dragonsaga,https://dragonsaga.gamepedia.com/api.php,generic,"!random"
prey,https://prey.gamepedia.com/api.php,generic,"!random"
swordcoastlegends,https://swordcoastlegends.gamepedia.com/api.php,generic,"!random"
labyrinth,https://labyrinth.gamepedia.com/api.php,generic,"!random"
exodusmod,https://exodusmod.gamepedia.com/api.php,generic,"!random"
wizardoflegend,https://wizardoflegend.gamepedia.com/api.php,generic,"!random"
gardenwarfare,https://gardenwarfare.gamepedia.com/api.php,generic,"!random"
trove,https://trove.gamepedia.com/api.php,generic,"!random"
shellshocklive,https://shellshocklive.gamepedia.com/api.php,generic,"!random"
streetsofrogue,https://streetsofrogue.gamepedia.com/api.php,generic,"!random"
starcontrolorigins,https://starcontrolorigins.gamepedia.com/api.php,generic,"!random"
northgard,https://northgard.gamepedia.com/api.php,generic,"!random"
splitmod,https://splitmod.gamepedia.com/api.php,generic,"!random"
blessonline,https://blessonline.gamepedia.com/api.php,generic,"!random"
horizonzerodawn,https://horizonzerodawn.gamepedia.com/api.php,generic,"!random"
kyn,https://kyn.gamepedia.com/api.php,generic,"!random"
darkout,https://darkout.gamepedia.com/api.php,generic,"!random"
slaythespire,https://slaythespire.gamepedia.com/api.php,generic,"!random"
intothebreach,https://intothebreach.gamepedia.com/api.php,generic,"!random"
deadcells,https://deadcells.gamepedia.com/api.php,generic,"!random"
cookservedelicious,https://cookservedelicious.gamepedia.com/api.php,generic,"!random"
shroudoftheavatar,https://shroudoftheavatar.gamepedia.com/api.php,generic,"!random"
planetside2,https://planetside2.gamepedia.com/api.php,generic,"!random"
franbow,https://franbow.gamepedia.com/api.php,generic,"!random"
goatsimulator,https://goatsimulator.gamepedia.com/api.php,generic,"!random"
gladiusrelicsofwar,https://gladiusrelicsofwar.gamepedia.com/api.php,generic,"!random"
dirtybomb,https://dirtybomb.gamepedia.com/api.php,generic,"!random"
grav,https://grav.gamepedia.com/api.php,generic,"!random"
everspace,https://everspace.gamepedia.com/api.php,generic,"!random"
z1battleroyale,https://z1battleroyale.gamepedia.com/api.php,generic,"!random"
obduction,https://obduction.gamepedia.com/api.php,generic,"!random"
deathtrap,https://deathtrap.gamepedia.com/api.php,generic,"!random"
legoworlds,https://legoworlds.gamepedia.com/api.php,generic,"!random"
battlefield1,https://battlefield1.gamepedia.com/api.php,generic,"!random"
razortrailsurvivors,https://razortrailsurvivors.gamepedia.com/api.php,generic,"!random"
forhonor,https://forhonor.gamepedia.com/api.php,generic,"!random"
deadstate,https://deadstate.gamepedia.com/api.php,generic,"!random"
relegend,https://relegend.gamepedia.com/api.php,generic,"!random"
blacklightretribution,https://blacklightretribution.gamepedia.com/api.php,generic,"!random"
helldivers,https://helldivers.gamepedia.com/api.php,generic,"!random"
infinitywars,https://infinitywars.gamepedia.com/api.php,generic,"!random"
battletech,https://battletech.gamepedia.com/api.php,generic,"!random"
texmurphy,https://texmurphy.gamepedia.com/api.php,generic,"!random"
noita,https://noita.gamepedia.com/api.php,generic,"!random"
blocksworld,https://blocksworld.gamepedia.com/api.php,generic,"!random"
undermine,https://undermine.gamepedia.com/api.php,generic,"!random"
enigmamod,https://enigmamod.gamepedia.com/api.php,generic,"!random"
blockhood,https://blockhood.gamepedia.com/api.php,generic,"!random"
maplestorym,https://maplestorym.gamepedia.com/api.php,generic,"!random"
herowarz,https://herowarz.gamepedia.com/api.php,generic,"!random"
necropolis,https://necropolis.gamepedia.com/api.php,generic,"!random"
warface,https://warface.gamepedia.com/api.php,generic,"!random"
townshiptale,https://townshiptale.gamepedia.com/api.php,generic,"!random"
battlefront,https://battlefront.gamepedia.com/api.php,generic,"!random"
la-mulana2,https://la-mulana2.gamepedia.com/api.php,generic,"!random"
dbtmod,https://dbtmod.gamepedia.com/api.php,generic,"!random"
sorcererking,https://sorcererking.gamepedia.com/api.php,generic,"!random"
outofreach,https://outofreach.gamepedia.com/api.php,generic,"!random"
theendisnigh,https://theendisnigh.gamepedia.com/api.php,generic,"!random"
nba2k-esports,https://nba2k-esports.gamepedia.com/api.php,generic,"!random"
urbanempire,https://urbanempire.gamepedia.com/api.php,generic,"!random"
starblastio,https://starblastio.gamepedia.com/api.php,generic,"!random"
starcitizen,https://starcitizen.gamepedia.com/api.php,generic,"!random"
warwind,https://warwind.gamepedia.com/api.php,generic,"!random"
shinmegamitenseidx2,https://shinmegamitenseidx2.gamepedia.com/api.php,generic,"!random"
stormboundkingdomwars,https://stormboundkingdomwars.gamepedia.com/api.php,generic,"!random"
worldofmayhem,https://worldofmayhem.gamepedia.com/api.php,generic,"!random"
worldsadrift,https://worldsadrift.gamepedia.com/api.php,generic,"!random"
strandeddeep,https://strandeddeep.gamepedia.com/api.php,generic,"!random"
beholder,https://beholder.gamepedia.com/api.php,generic,"!random"
rctworld,https://rctworld.gamepedia.com/api.php,generic,"!random"
superterrariaworld,https://superterrariaworld.gamepedia.com/api.php,generic,"!random"
ffxvane,https://ffxvane.gamepedia.com/api.php,generic,"!random"
culdceptrevolt,https://culdceptrevolt.gamepedia.com/api.php,generic,"!random"
projectspark,https://projectspark.gamepedia.com/api.php,generic,"!random"
legendsofultima,https://legendsofultima.gamepedia.com/api.php,generic,"!random"
operaomnia,https://operaomnia.gamepedia.com/api.php,generic,"!random"
galaxyofheroes,https://galaxyofheroes.gamepedia.com/api.php,generic,"!random"
spaceengineers,https://spaceengineers.gamepedia.com/api.php,generic,"!random"
blocknload,https://blocknload.gamepedia.com/api.php,generic,"!random"
novablitz,https://novablitz.gamepedia.com/api.php,generic,"!random"
thesandbox,https://thesandbox.gamepedia.com/api.php,generic,"!random"
holdyourown,https://holdyourown.gamepedia.com/api.php,generic,"!random"
rocketleague,https://rocketleague.gamepedia.com/api.php,generic,"!random"
fewarriors,https://fewarriors.gamepedia.com/api.php,generic,"!random"
fractured,https://fractured.gamepedia.com/api.php,generic,"!random"
ageofsigmarchampions,https://ageofsigmarchampions.gamepedia.com/api.php,generic,"!random"
legendsofeisenwald,https://legendsofeisenwald.gamepedia.com/api.php,generic,"!random"
angrybirdsevolution,https://angrybirdsevolution.gamepedia.com/api.php,generic,"!random"
thelongdark,https://thelongdark.gamepedia.com/api.php,generic,"!random"
devilian,https://devilian.gamepedia.com/api.php,generic,"!random"
thesandboxevolution,https://thesandboxevolution.gamepedia.com/api.php,generic,"!random"
pantheonriseofthefallen,https://pantheonriseofthefallen.gamepedia.com/api.php,generic,"!random"
clis,https://clis.gamepedia.com/api.php,generic,"!random"
